likes,pred_likes
20105,12516
48750,50122
93993,73858
27641,27281
6132,12318
36153,35038
9225,10792
106397,95756
82215,98026
530259,549530
90727,67584
0,3215
619,515
16239,5503
326,519
15930,15783
13456,12798
14934,13179
11765,39264
216489,123830
1185,1741
6306,7424
44392,42104
63603,69066
443,768
25927,25061
15688,16174
8909,8942
1570,10401
25056,28788
42380,41652
5741,39264
120993,113442
45383,38861
4236,198806
476724,441447
10698,13185
37171,49692
311331,273092
15504,21810
21635,18722
7846,6923
1021297,173825
64705,74691
716,2135
41693,44906
3023,6449
2031,1872
33136,198806
13280,17898
133911,143308
28180,25217
1835,2528
4691,3841
15832,18064
172081,156064
3467,3942
11014,12290
7125,33347
36219,31955
14974,14485
1343,12301
28626,63511
3394,3849
45119,37646
40078,48035
13,564
5892,2703
11201,11620
1605,113883
409,454
1418,2571
14112,15251
24553,23000
6988,8366
37367,16201
172746,146823
34989,30322
36683,39264
752,4662
19849,16559
3,4343
65722,58530
25592,14750
20515,19439
4571,3694
11729,11436
44277,40665
219,3025
105253,101356
39141,37133
52336,48856
24398,98235
7,605
4513,14501
5186,5251
169725,160008
10,4153
4116,3787
105248,120352
5761,5523
43999,78498
3,6843
22490,21306
4816,4984
477,39264
253,152409
1373,1311
36000,33059
2136,2199
9174,8154
477,1681
181682,177010
89,88
6490,5937
31028,29140
125,145
262497,404445
150565,394572
27913,36572
846,2118
7939,10301
13802,57279
6745,9196
8946,13812
9556,16513
20545,26292
36674,47307
16443,10281
7490,49476
3962,12275
40170,51790
17552,63532
144873,160785
9973,7427
21947,34376
18468,23107
20223,19102
14312,27656
4895,7028
37539,39942
17520,32142
12507,15743
25431,22858
87485,133000
5867,46036
8664,9337
5231,2488
24809,27165
5758,8028
31510,32565
2511,3549
20814,20540
470,4248
3067,3457
8361,8771
6367,11030
2280,4589
557,755
11717,22775
9592,9120
768,4728
3589,3971
369518,348534
51,291
16228,16384
19487,19823
34678,35870
19463,20813
26534,30329
972,1126
7616,7993
1721,12219
48,104
2387,3448
5440,4702
4341,4409
25343,25234
7577,9667
54796,40885
101586,111186
0,0
338607,336129
2149,6843
112345,111577
547,2687
23892,24911
168,29225
1221,1249
15189,15093
2765,2730
35,217
24,39264
1232,12109
358,2309
1966,2148
25043,27905
10950,10878
83670,82168
3131,3988
1174,1654
11478,12436
8412,9500
642003,445279
175,163
6657,7446
3892,4305
4730,8555
199,4240
4464,10750
20574,20415
16665,17146
10804,10540
260,367
1212,4353
92358,93083
16297,15469
37198,34629
149845,135299
171137,159985
15857,15786
2605,44639
3533,3622
9232,5174
236,3008
21062,12516
143947,96755
201223,46036
49621,50122
