views,pred_views
1654828,1726808
185707,1350849
582019,573411
4716036,5605772
33260,1410315
544230,964347
523234,447094
187278,310137
248793,1265007
26393,1410315
1666003,1410252
438484,1350849
123751,873427
336907,359376
364124,839696
31816,102718
50702,98061
5158539,4634551
89852,158794
1248432,1193074
336404,354830
172877,202773
57818,8195374
686170,885130
759465,716315
53502,54302
20772,31245
18346,400632
291603,280410
21007,646358
1274705,2891465
360308,469833
44284,34877
176380,270803
47358,132318
372468,437290
82266,246370
9445,62822
379172,1638793
304954,546482
1448352,1482866
441164,648399
46197,50061
756962,729673
625607,1350849
2003729,2000165
914063,880868
2242229,2023439
50899,2608044
384420,274019
127535,175692
578964,593482
112967,142929
2312628,2451095
1285629,790051
178887,705935
63841,68441
1985134,2082313
525327,556973
1406451,1461221
408821,320126
799694,806917
3447230,3461127
64813,73122
485602,719309
92342,106484
595598,834205
3631775,3239510
2286953,2330775
386174,361968
128804,133394
1836995,1869892
125604,1350849
2002223,1533177
84488,90311
120991,316053
674220,2362140
61066,135894
25521,822211
33164,35851
694375,654426
62257,65944
1408656,1310866
331642,1289354
274155,240144
210266,249967
30873,28798
54256,57499
14190,18136
92106,161549
40326,1073853
340649,328634
1443934,1296945
38528,50801
161057,159098
71415,56897
293758,339285
596888,818973
7544,5163081
39363,279121
981376,1142352
1975,543001
68611,107864
111222,120815
2468267,2181205
606481,640332
362775,354244
961935,673382
25796,116455
169411,302576
5661444,5472582
131762,122846
728698,697236
34784,464089
187106,313583
1387,2150952
3903013,3540073
368865,353461
139806,157002
68585,69657
11807,74115
252084,242751
518064,542749
388443,328454
496031,462858
220365,687371
885011,741466
43009,63904
119765,211547
261429,168318
37533,46242
360433,5473630
42087,48447
107173,63882
4949674,4595986
198789,320827
146013,125311
3317,19199
1384436,1163976
21855,34080
2744125,2704881
13676,528989
1224268,1136287
1042282,1200215
413662,337716
227345,501186
33434,24527
35487,35642
87065,76729
265799,215336
333944,283099
3841,18673
11032,11022
136837,171316
2688797,2630201
52416,193069
59959,118268
72940,227173
434036,503970
100168,109681
301738,275479
112077,205423
195143,711550
789594,861634
472936,605621
47760,93950
371683,348845
188957,155166
49451,58424
292891,278057
324024,348716
147851,336165
343273,307358
48130,96103
26448434,20848683
73984,156952
67471,65128
35125,104822
108297,1350849
4707527,19690380
2959054,7961172
396346,452801
1188326,1731583
322818,655617
21046,3010264
195386,395713
1540436,2084866
11072585,8708364
101553,246395
148223,1410315
1905799,4531670
1612055,983517
831968,2995797
286288,264050
2280611,2197854
8533826,2421749
370302,507103
194110,310039
148145,201164
242240,873427
240931,319091
1246742,1632636
2173621,2193249
6705901,10808459
4116378,3889299
9856767,3870056
467983,736929
79541,102718
311937,1350849
998296,1068029
288770,310137
926121,843852
580897,1265007
9779219,9312656
1795369,1726808
365523,802194
166940,158794
567182,1350849
679693,573411
5514929,5605772
855475,964347
587048,839696
581091,447094
52602,106019
414431,359376
97375,8195374
6066643,4634551
128700,246370
38057,62822
610459,1053695
42399,400632
43202,148179
99495,54302
78147,132318
198335,202773
374411,354830
343860,280410
1329506,1193074
1839303,2891465
126419,250883
461828,469833
233492,270803
825470,716315
925595,885130
538348,648399
433978,8195374
50157,34877
64813,98061
429721,437290
361618,546482
1524361,1482866
58760,50061
800306,729673
797596,834205
2259888,2000165
156892,175692
987117,880868
24423,31245
2758724,2451095
440942,274019
2326348,2023439
616420,593482
125328,142929
330225,705935
1315527,790051
602977,556973
2056950,2082313
52886,2608044
1497824,1461221
594612,719309
862532,806917
444789,320126
127525,316053
3560412,3461127
68145,68441
34293,822211
7108,158433
484287,361968
2415668,2330775
1940520,1869892
98092,106484
3545,663486
135090,133394
247839,249967
2143149,1861291
149074,1350849
74115,73122
3716275,3239510
736587,2362140
12212,42952
920,747027
3748,473895
84580,135894
88932,90311
35082,35851
383830,1289354
732349,654426
1455500,1310866
63818,65944
14527,18136
102941,161549
291272,240144
5258,115575
328302,339285
33543,28798
41562,1073853
55311,57499
38987,50801
357376,328634
15382,119741
1493983,1296945
2043,543001
4843,327309
163436,159098
1357577,1504508
117379,120815
612546,818973
26621,116455
26473,43162
75397,56897
12984,5163081
39467,464089
1000303,1142352
79057,107864
44511,279121
415473,354244
1002346,978730
766661,640332
804735,697236
175608,302576
5893503,5472582
2524854,2181205
144514,122846
4756676,3540073
202092,313583
140792,157002
1616,2150952
70382,69657
380111,353461
535337,542749
11849,74115
27997,34080
44810,63904
426730,328454
124948,211547
44856,48447
897162,741466
260902,242751
522367,462858
107919,168318
39720,46242
403685,5473630
207465,320827
5159241,4595986
147976,125311
225280,687371
1579188,1163976
3491,19199
2819118,2704881
1251577,1136287
37376,35642
33761,24527
429830,337716
784937,1270398
230403,501186
87403,76729
338085,283099
69170,118268
112866,63882
3987,18673
11156,11022
111077,109681
9920833,19690380
165139,1524496
4575521,5841081
1675419,1881827
1174413,2135482
226800,1270398
1726301,2390689
601839,1916732
18916,372984
214150,260090
19744,179470
5620985,7961172
703631,493281
325569,517774
418595,395713
541017,655617
1704485,1731583
1891954,2125762
212132,246395
66888,181363
1992282,2995797
1923973,2084866
42224,113454
291062,310039
267395,1410315
446368,544497
12776633,8708364
458438,507103
2797467,4531670
9421291,2421749
29041,275193
303310,319091
16431,508156
1743129,983517
372390,264050
2638137,2197854
602682,736929
1923738,1957800
327482,873427
44805,378377
13910,21665
172546,201164
95900,123350
1647994,1632636
1577521,633724
2597587,2193249
17627,41891
8097332,10808459
112443,102718
4251667,3889299
10663409,3870056
50934,1096120
366465,1350849
332872,310137
1101988,1068029
63719,62822
1126715,1952074
67147,106019
799867,1265007
741859,810593
416327,802194
199206,158794
989954,843852
10729515,9312656
1875686,1726808
614887,1350849
151602,246370
978535,964347
5889680,5605772
58233,400632
720203,573411
775185,839696
124901,8195374
786977,1053695
619920,447094
456234,359376
6674015,4634551
158953,250883
51678,148179
507616,8195374
300653,533295
389849,354830
2329130,2891465
209701,202773
617423,648399
533644,469833
98684,132318
279611,270803
866709,716315
1091211,885130
70307,98061
456680,437290
910217,834205
389506,546482
4970,25765
53126,34877
15353,127469
17899,5163081
483212,1363211
476488,705935
18525,86872
1048329,880868
61690,50061
25945,31245
479061,274019
645283,593482
138548,142929
80851,257375
3155840,2451095
680277,719309
9663,158433
1820,267832
169977,175692
2377193,2023439
639095,556973
1336848,790051
895210,806917
485303,320126
2131855,2082313
70025,68441
3658261,3461127
3699,663486
1549485,1461221
2031003,1869892
4078,473895
102271,106484
267631,249967
2521580,2330775
79915,73122
2259733,1861291
139225,133394
3762393,3239510
110590,135894
786437,2362140
12953,42952
999,747027
412286,1289354
152485,1350849
92483,90311
6383,2649678
36905,35851
65019,65944
1501028,1310866
352336,339285
109624,161549
766050,654426
6044,115575
14609,18136
1447333,1504508
302837,240144
35451,28798
42451,1073853
55910,57499
5839,327309
370461,328634
39799,50801
15476,119741
2087,543001
1533488,1296945
166097,159098
29723,43162
631000,818973
27408,116455
90268,107864
77763,56897
1014163,1142352
6109402,5472582
42658,464089
149257,122846
451675,354244
874883,640332
1038365,978730
877102,697236
179948,302576
122054,120815
2564903,2181205
215541,313583
5468928,3540073
48037,279121
141492,157002
152001,125311
2358,2150952
547362,542749
71707,69657
5315471,4595986
441712,5473630
1694708,1163976
11887,74115
46025,63904
459969,328454
538546,462858
913268,741466
1136686,2280512
1145941,1524496
578128,977238
771035,2278282
327936,551086
1257634,1917858
353570,464141
582747,848824
339761,517168
1056136,1200215
301265,635463
60509,840140
14476491,19690380
123251,214238
372127,520347
638074,752562
128287,532307
455289,594086
451973,760600
54002,167814
172146,179470
29254,55089
2364742,3010264
1609627,1869003
251683,441534
5617078,5841081
43667,126791
169239,267366
1967661,2135482
1587706,2344713
90054,136870
430457,669740
32639,51972
1326266,1916732
15058,36428
2206768,2390689
33620,74367
21194,109595
224651,250375
999867,1204790
70098,275193
118227,156365
78979,259505
21426,21665
60079,464089
119497,177373
100504,213818
7388662,7961172
144177,279306
129902,207959
24248,41891
191764,950169
79519,181363
82596,113454
16456,217979
532620,395713
134020,164746
29769,508156
605083,655617
1927025,1731583
240895,246395
294255,1410315
111349,123350
9454,318169
26230,36879
2034428,2125762
2823869,2995797
321451,310039
500570,544497
2152085,2084866
78860,90551
491468,507103
3460999,4531670
13987067,8708364
9964832,2421749
105115,949202
424109,264050
1864545,983517
682291,736929
2810983,2197854
324167,319091
349260,873427
2043102,1957800
180713,201164
1963898,1632636
698200,989183
9294823,10808459
2943211,2193249
2197,156998
128475,102718
1675392,633724
108294,135894
1612283,1952074
345819,310137
4328193,3889299
391853,1350849
11217517,3870056
83832,62822
71637,136761
1137271,1068029
1000754,1265007
80663,106019
1021443,964347
165353,246370
789872,810593
65746,400632
442977,802194
1043202,843852
654025,1350849
1928537,1726808
946431,839696
145895,8195374
6197393,5605772
188824,250883
933039,1053695
11362593,9312656
355788,533295
482648,359376
655350,447094
7098772,4634551
831425,1008979
61359,148179
666698,648399
56759,156700
397918,354830
566430,8195374
219662,202773
2811422,2891465
605186,469833
115219,132318
65758,50061
324083,270803
977204,834205
74094,98061
346110,1160056
138563,2899821
889168,716315
468840,437290
18642,127469
552011,1363211
407642,546482
1182553,885130
632967,705935
5224,25765
55241,34877
102733,257375
21439,5163081
27757,31245
24160,86872
507987,274019
663450,593482
146752,142929
756414,719309
3489592,2451095
1088828,880868
721459,1350849
12036,158433
665452,556973
2382,267832
2410620,2023439
1353044,790051
914173,806917
71610,68441
2193283,2082313
3798127,3239510
7978,106902
3729425,3461127
1581796,1461221
2098612,1869892
438025,1289354
13659,42952
278899,249967
105270,106484
2597902,2330775
4351,473895
83038,73122
2408682,2596359
141741,133394
822101,2362140
1032,747027
371401,339285
95520,90311
153341,1350849
7840,2649678
38775,35851
1531538,1310866
66021,65944
792184,654426
6553,115575
1508950,1504508
14657,18136
114923,161549
643737,818973
36414,28798
5670852,10779153
2484089,13784027
